Strain	Gene	z_score	Fold_change	Description	GO_function	GO_process	GO_component	Essential	Zygosity
YFL038C::chr6_1	YPT1	-1.49779	-0.169207	"Ras-like small GTPase, involved in the ER-to-Golgi step of the secretory pathway; complex formation with the Rab escort protein Mrs6p is required for prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p)"	GTP binding (IEA); GTPase activity (TAS); nucleotide binding (IEA)	ER to Golgi vesicle-mediated transport (TAS); protein complex assembly (IDA); protein transport (IEA); small GTPase mediated signal transduction (IEA); transport (IEA); vesicle-mediated transport (IEA)	"Golgi apparatus (IEA); Golgi membrane (IEA, IDA); cytoplasm (IEA); endoplasmic reticulum (IEA); endoplasmic reticulum membrane (IEA, IDA); membrane (IEA); mitochondrion (IDA)"	yes	het
YFL039C::chr00_15	ACT1	-6.05935	-0.92526	"Actin, structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions"	ATP binding (IEA); nucleotide binding (IEA); structural constituent of cytoskeleton (TAS); structural molecule activity (IEA)	"DNA repair (IDA); actin filament reorganization during cell cycle (TAS); ascospore formation (TAS); budding cell isotropic bud growth (TAS); cell wall organization and biogenesis (TAS); chronological cell aging (IMP); contractile ring contraction involved in cytokinesis (IDA); cytokinesis (IDA); endocytosis (TAS); establishment of cell polarity (TAS); establishment of mitotic spindle orientation (TAS); exocytosis (TAS); histone acetylation (IDA); mitochondrion inheritance (TAS); protein secretion (TAS); regulation of transcription from RNA polymerase II promoter (IDA); response to osmotic stress (TAS); response to oxidative stress (IGI); vacuole inheritance (IMP, IGI); vesicle transport along actin filament (TAS)"	INO80 complex (IPI); NuA4 histone acetyltransferase complex (IPI); SWR1 complex (IDA); actin cable (TAS); actin cortical patch (TAS); actin filament (TAS); cellular bud neck contractile ring (TAS); cytoplasm (IEA); cytoskeleton (IEA); histone acetyltransferase complex (IDA)	yes	het
YFL040W::chr6_1	YFL040W	0.857855	0.0644125	"Putative transporter, member of the sugar porter family; YFL040W is not an essential gene"	"substrate-specific transmembrane transporter activity (ISS, IEA); transporter activity (IEA)"	"transmembrane transport (IEA); transport (IEA, ISS)"	"integral to membrane (IEA); membrane (IEA, ISS)"	no	hom
YFL041W-A::chr00_20	YFL041W-A	0.474281	0.064495	Putative protein of unknown function; identified by fungal homology and RT-PCR	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YFL041W::chr6_1	FET5	-0.677137	-0.0471074	"Multicopper oxidase, integral membrane protein with similarity to Fet3p; may have a role in iron transport"	"copper ion binding (IEA); ferroxidase activity (IGI, ISS); iron ion binding (IEA); metal ion binding (IEA); oxidoreductase activity (IEA)"	"ion transport (IEA); iron ion transport (IEA, IMP); oxidation reduction (IEA); transport (IEA)"	fungal-type vacuole membrane (IDA); integral to membrane (IEA); membrane (IEA); plasma membrane (IEA)	no	hom
YFL042C::chr00_15	YFL042C	-0.0967805	-0.00954793	Putative protein of unknown function; YFL042C is not an essential gene	molecular_function (ND)	biological_process (ND)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YFL042C::chr00_22	YFL042C	0.27572	0.0206041	Putative protein of unknown function; YFL042C is not an essential gene	molecular_function (ND)	biological_process (ND)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YFL043C::chr6_1	YFL043C	0.34647	0.0204118	"Merged open reading frame, does not encode a discrete protein; YFL043C was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YFL042C"				no	hom
YFL044C::chr6_1	OTU1	0.311802	0.0371545	Deubiquitylation enzyme that binds to the chaperone-ATPase Cdc48p; may contribute to regulation of protein degradation by deubiquitylating substrates that have been ubiquitylated by Ufd2p; member of the Ovarian Tumor (OTU) family	cysteine-type peptidase activity (IEA); hydrolase activity (IEA); metal ion binding (IEA); peptidase activity (IEA); ubiquitin-specific protease activity (IDA); zinc ion binding (IEA)	"protein deubiquitination (IDA); regulation of transcription (IMP); ubiquitin cycle (IEA, IGI, IPI)"	"cytoplasm (IDA, IEA); intracellular (IEA); nucleus (IEA, IDA)"	no	hom
YFL045C::chr6_1	SEC53	-1.18763	-0.174651	"Phosphomannomutase, involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory proteins in the ER lumen"	"catalytic activity (IEA); isomerase activity (IEA); phosphomannomutase activity (IDA, IEA)"	mannose biosynthetic process (IEA); metabolic process (IEA); protein targeting to ER (IMP)	cytoplasm (IEA); cytosol (IDA)	yes	het
YFL046W::chr6_1	FMP32	-0.273005	-0.02451	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	molecular_function (ND)	biological_process (ND)	"integral to membrane (IEA); membrane (IEA); mitochondrion (IDA, IEA)"	no	hom
YFL047W::chr6_1	RGD2	-0.11863	0.000906393	GTPase-activating protein (RhoGAP) for Cdc42p and Rho5p	GTPase activator activity (IEA); Rho GTPase activator activity (IDA)	"intracellular signaling cascade (IEA); signal transduction (IEA); small GTPase mediated signal transduction (IC, IPI)"	cellular bud neck (IDA); cytoplasm (IDA); intracellular (IEA)	no	hom
YFL048C::chr6_1	EMP47	0.0693391	0.0116249	"Integral membrane component of endoplasmic reticulum-derived COPII-coated vesicles, which function in ER to Golgi transport"	molecular_function (ND); sugar binding (IEA)	ER to Golgi vesicle-mediated transport (IPI)	"ER to Golgi transport vesicle (IDA); Golgi apparatus (IEA, TAS); Golgi membrane (IEA); endoplasmic reticulum (IEA); endoplasmic reticulum membrane (IEA); integral to membrane (IEA); membrane (IEA)"	no	hom
YFL049W::chr6_1	SWP82	-0.691702	-0.0530406	Member of the SWI/SNF chromatin remodeling complex in which it plays an as yet unidentified role; has identifiable counterparts in closely related yeast species; abundantly expressed in many growth conditions; paralog of Npl6p	transcription activator activity (IPI)	"ER-associated protein catabolic process (IMP); chromatin remodeling (IC); regulation of transcription (IC); regulation of transcription, DNA-dependent (IEA); transcription (IEA)"	"SWI/SNF complex (IDA, IPI); nucleus (IEA, IDA)"	no	hom
YFL050C::chr6_1	ALR2	0.349458	0.0546566	Probable Mg(2+) transporter; overexpression confers increased tolerance to Al(3+) and Ga(3+) ions; plays a role in regulating Ty1 transposition	"di-, tri-valent inorganic cation transmembrane transporter activity (IMP, ISS); magnesium ion binding (IEA); metal ion transmembrane transporter activity (IEA)"	"di-, tri-valent inorganic cation transport (IMP, ISS); magnesium ion transport (IDA); metal ion transport (IEA); negative regulation of transposition, RNA-mediated (IMP); transport (IEA)"	integral to membrane (IEA); membrane (IEA); plasma membrane (IMP)	no	hom
YFL051C::chr6_1	YFL051C	0.0126491	0.000161864	Putative protein of unknown function; YFL051C is not an essential gene	molecular_function (ND)	biological_process (ND)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YFL052W::chr6_1	YFL052W	0.353	0.0357544	"Putative zinc cluster protein that contains a DNA binding domain; null mutant sensitive to calcofluor white, low osmolarity and heat, suggesting a role for YFL052Wp in cell wall integrity"	"DNA binding (IEA, ISS); metal ion binding (IEA); transcription factor activity (IEA); zinc ion binding (IEA)"	"biological_process (ND); regulation of transcription, DNA-dependent (IEA); transcription (IEA)"	cellular_component (ND); nucleus (IEA)	no	hom
YFL053W::chr6_1	DAK2	0.418469	0.0583906	"Dihydroxyacetone kinase, required for detoxification of dihydroxyacetone (DHA); involved in stress adaptation"	"ATP binding (IEA); glycerone kinase activity (IDA, IEA, ISS); kinase activity (IEA); transferase activity (IEA)"	glycerol catabolic process (ISS); glycerol metabolic process (IEA); response to stress (IMP)	cellular_component (ND)	no	hom
YFL054C::chr6_1	YFL054C	-0.0959421	-0.0173709	Putative channel-like protein; similar to Fps1p; mediates passive diffusion of glycerol in the presence of ethanol	"glycerol transmembrane transporter activity (ISS); transporter activity (IEA, IMP); water channel activity (ISS)"	transport (IEA); water transport (ISS)	"integral to membrane (IEA, ISS); membrane (IEA)"	no	hom
YFL055W::chr6_1	AGP3	0.269533	0.061472	"Low-affinity amino acid permease, may act to supply the cell with amino acids as nitrogen source in nitrogen-poor conditions; transcription is induced under conditions of sulfur limitation; plays a role in regulating Ty1 transposition"	"amino acid transmembrane transporter activity (IDA, IEA, IMP)"	"amino acid transport (IEA, IDA, IMP); negative regulation of transposition, RNA-mediated (IMP); transport (IEA)"	integral to membrane (IEA); membrane (IEA); plasma membrane (ISS)	no	hom
YFL056C::chr6_1	AAD6	-0.284262	-0.0322605	"Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase, involved in the oxidative stress response"	aryl-alcohol dehydrogenase activity (ISS); oxidoreductase activity (IEA)	aldehyde metabolic process (ISS); oxidation reduction (IEA); response to toxin (IEP)	cellular_component (ND)	no	hom
YFL063W::chr00_18	YFL063W	0.0531215	0.00573135	"Dubious open reading frame, based on available experimental and comparative sequence data"				no	hom
YFR001W::chr6_1	LOC1	0.912521	0.393052	Nuclear protein involved in asymmetric localization of ASH1 mRNA; binds double-stranded RNA in vitro; constituent of 66S pre-ribosomal particles	"mRNA binding (IDA, IPI)"	"intracellular mRNA localization (IMP); mRNA transport (IEA); ribosomal large subunit biogenesis and assembly (IMP, IPI); ribosome biogenesis and assembly (IEA); transport (IEA)"	"nucleus (IEA, IDA)"	no	hom
YFR002W::chr00_18	NIC96	-5.70922	-0.881884	"Component of the nuclear pore complex, required for nuclear pore formation; forms a subcomplex with Nsp1p, Nup57p, and Nup49p"	structural molecule activity (TAS)	NLS-bearing substrate import into nucleus (TAS); intracellular protein transport across a membrane (IEA); mRNA export from nucleus (TAS); mRNA transport (IEA); mRNA-binding (hnRNP) protein import into nucleus (TAS); nuclear pore organization and biogenesis (IMP); protein export from nucleus (TAS); protein import into nucleus (IMP); protein transport (IEA); rRNA export from nucleus (TAS); ribosomal protein import into nucleus (TAS); snRNA export from nucleus (TAS); snRNP protein import into nucleus (TAS); tRNA export from nucleus (TAS); transport (IEA)	"nuclear pore (IEA, IDA); nucleus (IEA)"	yes	het
YFR003C::chr6_1	YPI1	-2.03754	-0.26508	"Inhibitor of the type I protein phosphatase Glc7p, which is involved in regulation of a variety of metabolic processes; overproduction causes decreased cellular content of glycogen"	protein phosphatase inhibitor activity (IDA)	glycogen metabolic process (IMP); protein amino acid dephosphorylation (IDA)	"nucleus (IEA, IDA)"	yes	het
YFR004W::chr6_1	RPN11	-1.10923	-0.109803	Metalloprotease subunit of the 19S regulatory particle of the 26S proteasome lid; couples the deubiquitination and degradation of proteasome substrates	endopeptidase activity (TAS)	ubiquitin-dependent protein catabolic process (TAS)	"cytosol (IEA); nucleus (IDA); proteasome regulatory particle, lid subcomplex (IPI, IDA); proteasome storage granule (IDA); protein complex (IEA)"	yes	het
YFR005C::chr6_1	SAD1	-0.289574	-0.0369888	"Conserved zinc-finger domain protein involved in pre-mRNA splicing, required for assembly of U4 snRNA into the U4/U6 particle"	"RNA splicing factor activity, transesterification mechanism (IMP); metal ion binding (IEA); ubiquitin thiolesterase activity (IEA); zinc ion binding (IEA)"	"RNA splicing (IEA); mRNA processing (IEA); nuclear mRNA splicing, via spliceosome (IDA); ubiquitin-dependent protein catabolic process (IEA)"	"nucleus (IEA, IDA); ribonucleoprotein complex (IEA); spliceosome (IEA)"	yes	het
YFR006W::chr6_1	YFR006W	0.322942	0.0290625	Putative X-Pro aminopeptidase; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YFR006W is not an essential gene	"X-Pro aminopeptidase activity (ISS, IEA); hydrolase activity (IEA); manganese ion binding (IEA); metal ion binding (IEA); metalloexopeptidase activity (IEA)"	biological_process (ND); proteolysis (IEA)	cytoplasm (IDA); integral to membrane (IEA); membrane (IEA)	no	hom
YFR007W::chr6_1	YFH7	-0.764695	-0.0904042	Putative kinase with similarity to the phosphoribulokinase/uridine kinase/bacterial pantothenate kinase (PRK/URK/PANK) subfamily of P-loop kinases; null mutant displays decreased frequency of mitochondrial genome loss (petite formation)	ATPase activity (IDA); kinase activity (ISS)	phosphorylation (ISS)	cellular_component (ND)	no	hom
YFR008W::chr6_1	FAR7	-0.18322	-0.00903503	"Protein involved in G1 cell cycle arrest in response to pheromone, in a pathway different from the Far1p-dependent pathway; interacts with Far3p, Far8p, Far9p, Far10p, and Far11p"	molecular_function (ND)	"cell cycle (IEA); cell cycle arrest in response to pheromone (IMP, IPI)"	cellular_component (ND)	no	hom
YFR009W::chr6_1	GCN20	-1.35512	-0.102683	"Positive regulator of the Gcn2p kinase activity, forms a complex with Gcn1p; proposed to stimulate Gcn2p activation by an uncharged tRNA"	"ATP binding (IEA); ATPase activity (ISS, IEA); nucleoside-triphosphatase activity (IEA); nucleotide binding (IEA)"	"regulation of translational elongation (IMP, IPI)"	cytosol (IPI); cytosolic ribosome (IDA)	no	hom
YFR010W::chr6_1	UBP6	-0.0117663	0.00152685	"Ubiquitin-specific protease situated in the base subcomplex of the 26S proteasome, releases free ubiquitin from branched polyubiquitin chains; works in opposition to polyubiquitin elongation activity of Hul5p"	"cysteine-type peptidase activity (IEA); hydrolase activity (IEA); peptidase activity (IEA); ubiquitin thiolesterase activity (IEA); ubiquitin-specific protease activity (IDA, IMP)"	protein deubiquitination (IMP); protein modification process (IEA); ubiquitin cycle (IEA); ubiquitin-dependent protein catabolic process (IEA)	proteasome complex (IPI); proteasome regulatory particle (IPI)	no	hom
YFR011C::chr00_16b	AIM13	1.57527	0.16681	Putative protein of unknown function; non-tagged protein is detected in highly purified mitochondria; null mutant displays increased frequency of mitochondrial genome loss (petite formation) and reduced growth rate in minimal glycerol media	molecular_function (ND)	biological_process (ND)	cytoplasm (IDA); mitochondrion (IDA)	no	hom
